user_id,contract,most_search_t6,count_t6,category_t6,most_search_t7,count_t7,category_t7,keyword_changed_flag,category_shift_flag,category_transition,most_watch_type,taste_profile,activity_level,active_days,total_giai_tri,total_phim_truyen,total_the_thao,total_thieu_nhi,total_truyen_hinh
0019706,,bên nhau trọn đời,7,Phim Trung Quốc,lê hấp đường phèn,2,Phim Trung Quốc,Yes,Unchanged,Unchanged,,,,,,,,,
026188,,manh phi giá đáo,2,Khác,lưỡi gươm diệt quỷ,2,Anime,Yes,Changed,Khác -> Anime,,,,,,,,,
0409574,,shooting stars,3,Phim Hàn Quốc,tại sao lại là oh soo jae vietsub,2,Phim Hàn Quốc,Yes,Unchanged,Unchanged,,,,,,,,,
0460089,,gintama,8,Anime,shiel,2,Khác,Yes,Changed,Anime -> Khác,,,,,,,,,
06003209,,kênh vtv6,2,Kênh truyền hình,kênh vtv1,7,Kênh truyền hình,Yes,Unchanged,Unchanged,,,,,,,,,
06010165,,hoa c,2,Khác,kẻ cắp mặt trăng,3,Phim hoạt hình,Yes,Changed,Khác -> Phim hoạt hình,,,,,,,,,
06014896,,bolero,4,Âm nhạc,bolero,18,Âm nhạc,No,Unchanged,Unchanged,,,,,,,,,
06015891,,thư ký kim sao thế,3,Phim Hàn Quốc,hậu duệ mặt trời,3,Phim Hàn Quốc,Yes,Unchanged,Unchanged,,,,,,,,,
06019045,,tokyo ghoul re,2,re : Anime,vũ động càn khôn,2,Khác,Yes,Changed,re : Anime -> Khác,,,,,,,,,
06020672,,như ý phương phi,2,Khác,nhất kiến khuynh tâm,2,Phim Trung Quốc,Yes,Changed,Khác -> Phim Trung Quốc,,,,,,,,,
06021117,,chú thuật hồi chiến,3,Anime,dr stone,7,Anime,Yes,Unchanged,Unchanged,,,,,,,,,
06023719,,em và trịnh,2,Khác,phi vụ triệu đô,3,Khác,Yes,Unchanged,Unchanged,,,,,,,,,
06032128,,chàng hậu,2,Phim Hàn Quốc,orient,3,Anime,Yes,Changed,Phim Hàn Quốc -> Anime,,,,,,,,,
06033306,,vào ma giới rồi đấy iruma kun,2,Tâm linh,khanh linh muzik,2,Khác,Yes,Changed,Tâm linh -> Khác,,,,,,,,,
06036880,,lời nguyền ma lai,3,Phim Thái Lan,luong the hoan,2,Khác,Yes,Changed,Phim Thái Lan -> Khác,,,,,,,,,
06037156,,ooo ki niem 10 nam,2,Khác,naruto,5,Anime,Yes,Changed,Khác -> Anime,,,,,,,,,
06040664,,yêu trong đau thương,2,Khác,vo quan,2,Khác,Yes,Unchanged,Unchanged,,,,,,,,,
06043846,,hội pháp sư fairy tail tập 307,3,Anime,fairy tail 2,9,Anime,Yes,Unchanged,Unchanged,,,,,,,,,
